id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83
let7a5p	0.21103287	-0.077613831	0.63767433	-0.83541489	-0.73832703	0.29479599	-0.87539673	-1.5926552	-0.92570877	-2.1541252	-1.7442913	-1.0401936	-1.6355724	-1.1888905	-2.0372162	-1.9692345	-0.020824432	-0.60016823	-0.20656395	-0.97847557	-0.20381546	-1.5905323	-1.8908463	-0.59744072	-1.9563274	1.0846405	0.53102493	-0.35178947	-0.18101501	-0.91158295	-1.1287365	0.20868492	-0.019180298	-0.2322998	-0.56671906	-0.34491348	-0.486763	0.51983643	-0.072639465	-1.0004253	-0.63757515	0.65297699	0.094810486	-0.63256645	-1.2107811	0.90407562	1.3182697	-1.2054214	0.72052383	-1.0936222	-1.0398388	1.5542717	0.48776627	0.60813522	1.0545998	0.633955	0.11686325	0.048995972	-0.15348816	0.24219513	0.25982857	0.24072647	1.2005692	0.67089272	-1.4359703	-0.12717628	0.79341888	0.01656723	-1.2939568	0.13294029	0.38842392	-0.60464287	1.1925755	1.1830864	-1.0561981	-0.87721252	-0.71429062	0.40465355	-0.18844414	-1.2868729	-0.80935669	-1.5333405	-0.13779449
mir1005p	-3.6611938	-1.4711876	-1.6039677	-3.3986168	-3.2724266	-0.44286919	-3.2112465	-4.1033592	-3.6390457	-2.6742554	-3.5202236	-3.2978573	-4.1333103	-5.0834808	-5.1424007	-4.4396858	-2.8678474	-3.0853024	-2.8345413	-4.5833721	-4.1192551	-3.6870842	-4.0714188	-3.9106808	-3.4309139	-2.6322517	-3.430603	-2.7999363	-2.874052	2.5316353	-2.7535419	-4.4383163	-3.5476608	-3.4257698	-2.8509445	-3.5756721	-2.6937122	-2.448247912	-3.5961971	-1.2298698	-6.8470154	-1.962411248	-3.1526222	-3.1764221	-3.8518066	-2.9155483	-2.8744965	-3.999897	-1.6284752	-4.1962395	-1.403019	-3.3902626	-4.344677	-2.2165318	-1.6195354	-6.0241203	-3.7016983	-3.2470016	-4.7210827	-3.9526558	-2.2769165	-2.5095997	-4.2803078	-2.3489513	-4.2949829	-3.7234116	-6.3803024	-3.7832031	-3.88595055	-4.2313614	0.32534981	-4.9982605	-5.1019783	-1.2597733	-10.334717	-4.5721951	-2.7982025	-3.1913776	-5.5548592	-5.5840721	-4.7009697	-5.2964973	-4.583786
mir106b5p	0.14229584	-0.66400909	-1.1654682	-1.7238712	-1.4064636	-0.48629189	-0.55246353	-1.5677834	-1.1229115	-1.1043968	-1.3182507	-0.27771378	-0.68928146	-0.96364784	-1.2770138	-0.47920609	-1.9881554	-2.3851719	-1.4600849	0.16407967	-0.049716949	-0.42331696	-2.0222015	0.10021019	-1.4373398	-2.820797	-2.5733376	-0.41230583	-1.472908	-1.2101402	-1.0327168	-0.59300232	0.022153854	-0.50512314	-0.61158943	-0.56944084	-1.2577877	0.60908318	-0.87777519	0.29678154	-0.93252182	1.8464966	-0.31209373	-0.58966827	-0.61590767	2.78088	2.7973614	0.63362503	1.5815639	-0.87107277	-0.18095207	1.6639557	0.8624897	0.62282753	1.3755512	0.14858627	0.13576126	0.41478348	-0.17189026	0.020385742	-0.3472538	0.67146873	2.6207352	-0.49438286	-0.17982292	0.64886475	-0.12864304	-0.28768158	0.31326103	0.32780266	-0.40666962	1.2072163	2.175703	1.3835106	-0.053869245	0.1607933	-1.3670883	-0.29335976	-1.2207508	0.297136881	-0.97399521	-3.2178459	0.091094971
mir10b5p	-10.279617	-5.4554596	-3.0252171	-5.7924709	-8.0009499	-7.3860874	-5.1066246	-7.7903595	-6.3471222	-6.9899368	-6.2915974	-7.0479584	-7.787323	-7.1157532	-8.9748669	-7.6709328	-6.036171	-7.2413235	-5.2613583	-9.1507397	-9.3708038	-7.5306015	-7.6226501	-6.7913494	-6.8915482	-3.8934784	-4.7023544	-5.8886013	-5.8179817	-4.42557575	-3.918286017	-4.623433257	-9.3894348	-3.3883095	-4.482502	-6.4964752	-5.6420689	-4.239049067	-5.258338938	-5.7469311	-6.4142227	-3.651948671	-4.7967072	-5.6396103	-6.7062607	-4.8199024	-6.2538605	-7.2355385	-4.9972572	-6.1586353	-10.51289	-5.2653427	-6.285702829	-4.0418034	-3.453021729	-4.6592429	-2.9063873	-2.6415596	-5.0931416	-9.2806931	-4.96927796	-7.8053913	-4.9773026	-7.793829	-4.8662453	-3.8435516	-3.568394188	-3.6585072	-4.21780635	-5.6832161	-7.0033836	-5.444390788	-5.2895622	-2.3204956	-8.7499275	-8.2272091	-8.4136543	-9.4240818	-6.642232917	-4.8134727	-9.3583298	-3.613552563	-5.312973433
mir1225p	-1.6194057	-2.2115517	0.45450783	-1.0800724	-1.1932335	-0.82417107	-1.3952999	-1.2671356	-2.1418705	0.35260773	-2.1112995	-3.0483017	-3.5513268	-3.8951206	-3.9932652	-4.9739456	-3.6315117	-4.1187115	-1.8878555	-2.4855061	-1.4582672	-3.8695831	-3.2930183	-1.5484066	-1.7456913	-0.10801506	-2.542923	-1.0263233	-1.9673805	-0.48794556	-2.0691967	-1.602623	-2.0891495	-1.8025894	-0.7543335	-1.7109489	0.89378166	0.94306946	1.1655445	-0.38423157	-0.44655228	-0.69102478	0.45949554	0.67147446	-2.3865051	-1.2834339	-1.2789803	-1.9554558	0.52675056	-3.0398636	-2.6273613	0.51477242	-0.37384224	1.2462749	1.2921429	-1.8632278	-1.207058	0.09330368	-0.18505478	-1.0931416	-0.97700691	-0.1033535	-1.8590469	-1.2502422	-0.97646141	-1.657177	2.0838795	0.41487122	-4.4457779	0.88051224	0.30662537	-2.4382706	-0.2223835	1.9457111	-4.0098572	-3.832613	-1.0906925	-3.4253178	-2.0583744	-1.2369728	-5.0223503	0.64967918	-2.9743767
mir1243p	-0.33858299	-1.6849327	-0.26201439	-4.4243221	-3.932518	-0.35260773	-3.0337448	-2.3468361	-3.06713238	-2.040135207	-3.09128303	-2.43567926	-2.95758609	-3.220764336	-3.11978932	-3.297272506	-2.93289357	-3.11528665	-2.625891291	-1.8110828	-2.577499	-2.912210861	-2.582607251	-2.10980377	-2.530665023	-3.225660534	-3.383128171	-2.251390074	-3.039685051	1.3564377	0.82294083	-0.56404686	-2.9763718	-0.93691635	-2.895462	-6.2033958	-3.2604122	-0.74926186	-2.1055737	-2.6677666	-3.0818253	0.54661751	-4.1816025	-4.1880226	-0.47696495	-4.5176411	-5.6443977	-3.0596352	-1.867321	-2.5734539	-3.7402763	-3.2519836	-4.0583725	-1.1644726	0.30444527	-0.74062538	-0.58234406	-0.40967751	-0.3465538	-3.7181625	-2.9384861	-1.1672955	-4.3210754	-0.64111328	-2.0273933	0.04958725	-0.2905426	0.68548584	-0.22072601	-1.6406898	0.54510117	-2.0694389	-1.9652538	0.36768341	-3.6313362	-3.6304379	-3.0858345	-2.7589207	-1.4647827	-1.7095642	-3.7222519	0.43113518	-2.1071167
mir125b5p	-3.5169678	-1.081707	-0.89441872	-3.2492027	-3.3409691	-1.1470432	-3.8562813	-4.6025162	-3.681694	-2.4699135	-4.0308971	-3.2533989	-4.3013687	-5.0442505	-5.0963116	-4.9715424	-3.9768066	-4.9523373	-3.5555782	-4.3489094	-4.4817581	-4.4370995	-4.1206741	-3.0686741	-3.5115643	-6.2531242	-3.4352646	-3.224802	-3.7507286	-1.2701111	-2.7715626	-2.970474224	-2.5611172	-5.7149353	-3.5285797	-3.6184273	-2.5697498	-2.3196044	-2.6460781	-3.3643589	-3.599041	-1.594277249	-2.5595894	-3.6894913	-3.0094032	-2.0391712	-2.0762787	-3.1799088	-3.1548653	-3.6314545	-3.2963905	-1.9900665	-3.5002747	-2.7550602	-2.0742722	-0.0359478	-1.3001862	-4.29440974	-2.9723263	-1.7646713	-3.77314	-1.5486736	-3.1146088	-3.3587513	-2.3213272	-1.0037384	-1.4187584	-2.9978638	-4.0411568	-2.287323	-3.9068108	-3.920433	-0.51734734	-1.471859	-4.9483719	-3.9206791	-2.5131111	-2.6400909	-4.2302284	-1.9435349	-5.0733376	-1.888822009	-3.525066167
mir1263p	0.66275024	0.54724503	0.96806526	-0.00535202	-0.43738174	1.6262436	1.1454659	-0.19954681	0.50378799	0.24454117	-0.19668388	0.30013657	-0.51836395	-0.35934639	-0.21433067	-0.42263794	0.48957253	0.073530197	1.0177002	-0.11538506	0.85979843	0.16822815	0.006303787	0.34429359	0.33994102	-1.1897812	-0.36104774	1.0462246	0.63482857	0.28688431	0.36522865	1.1200943	0.34231949	0.56577301	0.68997383	-0.17890167	0.49605179	0.20316315	0.32496452	-0.84410477	-0.27082825	2.2685909	1.1664009	0.12947273	-0.27947044	1.1010342	1.2177258	0.04073143	1.4427357	0.18685722	0.22184563	1.1939735	-0.57909584	1.7280998	1.9387817	-0.12281418	0.87262344	0.69447517	1.6217651	-0.35511398	0.17637444	1.8483791	0.49679947	1.495245	-0.23504829	1.479044	2.2121754	0.9886837	0.90525627	0.8636322	1.2112408	0.2378006	1.5681152	1.3287563	0.025648117	-0.39241219	-0.63028717	0.35654068	0.87509346	-0.9356041	-0.85404587	-0.05988121	1.1578693
mir1345p	-4.4608994	-5.5744362	-3.837309363	-5.0069256	-5.9233856	-5.1558285	-6.6836815	-5.357357	-10.478962	-6.6781235	-9.1715488	-5.2794952	-6.945961	-6.4686508	-4.1900463	-8.1009216	-7.3196716	-4.8121281	-4.8774014	-6.4263897	-5.5984306	-5.9423065	-5.0442047	-4.9389935	-6.4803467	-3.6477013	-5.03759	-6.8808079	-6.5634613	-3.2400513	-3.584103457	-6.8602142	-6.0402908	-2.7430305	-5.3808844	-6.3274117	-4.2319508	-3.17943	-4.065745667	-5.742848067	-5.3001137	0.085586548	-6.0254478	-4.8722725	-3.8528061	-5.5157604	-6.7689476	-5.8601799	-6.10989	-4.1421432	-7.2503052	-4.087557643	-6.5623779	-2.4306126	-1.5005169	-4.55139923	-6.2430534	-4.4486313	-1.5633049	-5.82633655	-4.455217367	-2.3602009	-5.7543488	-4.501625538	-3.040966	0.6812973	-3.7429771	-0.18529129	-0.68535995	-2.3315964	-3.901467314	-3.0224419	-4.2593842	-2.974469525	-5.6653671	-2.4157429	-5.9836197	-4.6028881	-4.9244881	-2.8126526	-5.6516228	-3.012242182	-6.6559563
mir1433p	-5.3290634	-4.084301	-2.3530025	-4.0713787	-4.9544067	-4.2487736	-3.7619743	-5.1402817	-3.3227272	-2.9084473	-3.6228771	-4.1222515	-3.5172558	-3.149004	-4.0144138	-2.8274574	-4.2262039	-4.4887524	-3.8689632	-3.2396793	-4.4634399	-3.2503166	-2.9664574	-3.8109303	-2.7014427	-3.790528943	-6.5761375	-4.1762943	-4.4886017	-4.7374878	-4.306628713	-1.8902283	-5.1185837	-3.6395988	-4.6252327	-5.7061043	-6.6066074	-3.8005886	-3.8784847	-5.3037281	-4.774292	-2.34264832	-6.0967522	-4.7204056	-5.1817207	-3.5311375	-3.7514992	-4.2556763	-5.0231667	-5.1201973	-4.6121216	-3.2964096	-3.2530441	-5.3536358	-7.2006836	-4.911644	-4.036772057	-4.696537	-8.8905163	-4.6532288	-6.8490524	-3.602335	-4.5001831	-6.1135197	-3.7576599	-4.4071274	-3.3900261	-7.0182877	-7.1509743	-3.9153671	-2.947967743	-4.8296356	-4.0667458	-2.919792729	-4.92229026	-4.5609608	-4.8113136	-3.76738012	-5.9485779	-3.6897812	-5.0139198	-2.620667782	-4.4931068
